,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Maize_Chlorotic_Mottle_Virus,0.59691477,-0.08091515,0.19010715,-0.009561082,0.31843403,-0.31696022,0.08197579,0.08175409,-0.39374247,0.15094554,0.073538266,0.066233575,-0.22114037,-0.027328102,0.2710479,0.49360573,-0.1890248,-0.2607013,0.18311505,0.5884444,-0.08254276,-0.022773067,0.41408667,-0.095435776,0.24673338,0.28687385,-0.11842758,0.27367905,0.27006197,-0.047111604,-0.023870701,-0.017584085,-0.31071642,-0.3344489,0.06085458,-0.44600576,0.092873044,0.2152807,-0.058604885,0.15986545,0.1643858,-0.16048278,0.07899683,-0.632198,-0.12767541,-0.26102242,-0.33755118,-0.17590788,0.42246795,0.49478602,0.50423056,0.013332907,0.16909416,0.33095926,0.4268454,0.34224814,0.15828185,-0.012870559,-0.2016835,-0.1332996,0.07873529,-0.18136542,0.08168277,0.07454192
klorosis,0.27459186,-0.32468346,0.13743652,0.33703142,0.13703942,-0.41003406,-0.20106381,0.00522108,-0.21418782,0.20455547,0.016043695,-0.03330125,-0.22630537,0.009258832,0.0020407804,0.54673404,0.13534905,-0.15732841,-0.09359091,0.31487486,0.04480216,0.57260615,0.23417607,-0.1317258,0.15843798,0.28986806,-0.04139959,0.35561764,0.20240703,-0.30526358,0.2196916,-0.062240705,-0.026177682,0.07043383,-0.20785724,-0.3209921,0.47306168,0.19947098,-0.08232529,0.06604311,-0.15720935,0.1514775,0.3357343,-0.57213706,-0.14195067,-0.16630173,-0.14631923,0.105695665,0.2047965,0.19326071,0.076438025,-0.116802335,0.028672947,0.053881925,0.31810054,-0.048282146,0.0754289,-0.12956953,-0.37730008,-0.1220028,-0.009986463,-0.008553981,-0.065893136,-0.20429106
Termites,0.10374765,-0.28046805,0.22502534,0.29218766,-0.13333802,-0.025413906,-0.03724285,-0.122121535,-0.21401393,-0.054356713,0.2781402,0.22461371,-0.19904017,0.15149617,-0.11274983,0.3602049,-0.13594645,0.4895395,0.06241627,0.44803885,0.079531536,0.284401,-0.03407623,-0.22618867,-0.17801146,0.5513069,-0.5454516,0.07575851,0.08383892,-0.50464386,-0.29998925,0.006332027,0.065249704,-0.24149604,-0.13220565,-0.7223885,0.37526318,-0.2110276,-0.026249437,0.029174186,-0.1870627,0.43834227,0.3314612,-0.47194389,0.46932846,-0.15837823,-0.26409155,0.05576012,-0.22518207,0.38150674,0.09298236,-0.03793076,0.37937352,0.2916677,0.40936384,0.36925724,-0.10955643,0.07546185,-0.46371904,-0.07978898,-0.104819424,-0.2914854,-0.02450454,-0.02572493
termites,-0.27750018,-0.15813354,0.3487688,0.37043154,-0.26987824,0.07207312,0.20102483,-0.05027172,-0.24661209,-0.186575,0.32035723,0.4311288,-0.22729746,0.17174974,-0.19117111,0.3153188,-0.0061012786,0.3301072,0.054436333,0.6400048,0.11152332,0.34970203,-0.19011496,-0.12046429,-0.0891995,0.47293073,-0.5081892,0.18014267,0.01373372,-0.29864094,-0.176464,0.16280141,0.25484776,-0.12463498,-0.17919046,-0.9407893,0.19245638,0.14286849,0.007351237,0.25292975,-0.29192084,0.36356664,0.076104514,-0.337799,0.43167746,0.024094062,-0.36026254,-0.021091215,0.12601775,0.5069621,-0.09421089,-0.21947144,0.27196255,0.530917,0.36589986,0.38498604,-0.18133034,0.012435954,-0.43249926,0.0046711913,-0.2907434,-0.49863324,-0.25603482,0.08871804
Tobacco_Caterpillar,0.27192235,-0.4012943,-0.038367692,-0.04895226,-0.014761492,-0.34213632,-0.16226065,-0.028712858,-0.14043179,-0.08551077,0.24267201,0.043119617,-0.11008037,-0.010260011,-0.33909774,0.47248194,0.05091237,0.29524913,-0.49312535,0.6355091,0.27332845,0.33452877,0.50636494,-0.11987839,-0.1871438,0.60604215,-0.108305745,-0.3130871,-0.09311985,0.007294156,-0.11911083,-0.021045705,0.13065284,0.34090224,0.09365281,-0.57826513,0.14526935,-0.12280494,-0.070838556,0.18615581,0.11715146,0.06840102,-0.04810063,-0.5722702,-0.019634923,-0.2662459,-0.07593714,0.06490583,0.18645296,0.28881267,0.1783588,0.043886025,0.6529194,0.2980418,0.43414128,0.57003427,0.06798604,0.35086492,0.032132395,0.26260898,-0.19322243,0.19226061,-0.12272005,0.08045626
monitoring_rutin,0.38749775,0.014490484,0.4668517,0.024624063,-0.0075974334,-0.44678837,-0.038801968,0.032713868,-0.4413507,0.009931455,0.22507612,0.19797027,-0.16143489,-0.21329731,-0.0095193125,0.33720836,-0.06497527,0.11207157,-0.17382385,0.44690362,0.2860442,0.31423828,0.27131686,-0.19735153,0.108513854,0.18781173,-0.023231775,-0.017832331,0.22452803,-0.07729638,-0.092927106,0.17477955,0.06055516,-0.026521372,-0.32525054,-0.6096655,0.13644852,-0.25328544,0.19769907,0.035369854,0.18756488,0.33016396,0.25999716,-0.5275073,-0.0739333,0.030888597,-0.2238477,0.058598876,0.21247964,0.12525228,0.0021642249,0.052274946,0.23705986,0.25194243,0.36402336,0.39606532,0.08530038,0.15505739,-0.13033535,-0.014190592,-0.16350336,-0.24557097,-0.23543972,-0.17170835
tongkol,0.6201886,-0.36341798,0.41496313,0.08046316,0.2791561,-0.2937335,0.009719326,0.14810279,-0.38782457,-0.04984821,0.18550381,0.29539788,-0.46346876,-0.025243018,0.04955715,0.24991253,-0.11944335,-0.11332971,-0.38470584,0.3790581,0.2502143,0.253878,0.054100845,-0.12298448,0.33540073,0.37694323,-0.07314188,-0.13603385,0.06714677,-0.12444253,0.021457719,0.18749227,-0.2117055,-0.46939698,-0.284049,-0.4649785,0.27016866,0.020214837,0.18743703,0.18367746,0.21375592,-0.03699996,-0.009702966,-0.45184246,-0.062198356,0.12903567,-0.24118924,0.10814181,0.09410966,-0.09340827,0.29384252,-0.0038892725,0.15183483,0.09659431,0.5099854,-0.014958667,0.16465169,0.20757335,-0.27254152,0.009589015,-0.090260066,0.040458933,-0.34555566,-0.18563204
virus,0.2354632,-0.10579637,0.045465138,0.16257766,0.21927804,-0.46458605,-0.052378714,0.04488218,-0.3854803,-0.077349,0.097825244,0.22947374,-0.37631172,-0.37543193,0.15538591,0.35590637,-0.36200693,-0.29597563,0.06993868,0.66508645,0.21502496,0.21548125,0.43109053,-0.047574967,0.14785746,0.14749376,-0.2991807,0.3237699,0.316398,-0.23176835,0.10640242,-0.07598912,-0.31171653,-0.51976764,-0.012048875,-0.2706038,0.19360103,-0.051901143,-0.19815597,0.08130459,0.17137983,0.24946037,0.01000499,-0.58364755,-0.36254385,-0.16770913,-0.57826674,0.08867799,0.41283402,0.22353373,0.28279307,-0.14103578,-0.17670451,0.3048445,0.50071985,0.09921576,0.3163504,0.20757708,-0.020400051,-0.097406946,-0.14359896,0.12797543,-0.08111994,0.032911133
Nitrogen_Deficiency,0.08808091,-0.2780713,0.5040645,0.07199098,0.402985,-0.056930408,-0.03740606,-0.43368146,-0.08199941,0.0897917,0.121237084,-0.038347434,-0.29675108,0.3272663,0.008214787,0.4201756,-0.088999294,-0.027533881,-0.22794059,0.30336785,0.23824441,0.33407098,0.21516432,-0.105705634,0.27150732,0.42642826,0.17675647,0.061763696,0.06395135,-0.6001679,0.49239835,-0.18933046,0.0020499742,0.15151785,-0.3401597,-0.3290805,0.10833466,0.35613093,0.08055871,-0.22791648,-0.072134346,0.5216382,0.428914,-0.26891908,-0.25678352,-0.9909611,-0.11277652,-0.27296007,0.2707158,0.19077234,0.24548832,-0.07663529,0.01870322,-0.07849034,0.58553445,-0.060531244,0.30756202,-0.20769368,-0.28454572,0.01894086,-0.05390311,-0.26824418,-0.15171665,-0.44278303
tes_tanah_rutin,0.28192496,-0.36093473,0.24484037,0.33368483,0.07689586,-0.17184822,-0.2093573,-0.24210829,0.15690123,0.24741274,0.112960614,-0.12251508,-0.33470923,0.09953386,-0.041867387,0.71405876,-0.110521995,0.25768015,-0.079955675,0.39974055,0.3238772,0.25293195,0.15241177,-0.4565819,0.18517472,0.30071625,-0.17809482,-0.09735058,0.14738801,-0.19854921,0.44998196,-0.123522624,-7.670183e-05,0.47045624,-0.021852892,-0.3570193,0.5105977,0.45065427,0.0026844305,-0.13516283,-0.12573826,0.2964827,0.57092667,-0.1745304,-0.14527014,-0.41307342,-0.20224498,-0.16163868,0.4851335,0.1256373,0.45580927,0.038584325,-0.049859032,0.00797245,0.49018395,-0.3786633,0.23389104,-0.41189864,-0.14732002,-0.09898087,0.026162405,-0.1000839,-0.11723511,-0.28486606
